"","O1-AG1-GPOS-S145-L001","O1-AG1-S190-L001","O1-AG2-GPOS-S146-L001","O1-AG2-S191-L001","O1-AG3-GPOS-S147-L001","O1-AG3-S192-L001","O1-AG4-GPOS-S148-L001","O1-AG4-S193-L001","O1-AG5-GPOS-S149-L001","O1-AG5-S194-L001","O1-CQ1-GPOS-S175-L001","O1-CQ1-S205-L001","O1-CQ2-GPOS-S176-L001","O1-CQ2-S206-L001","O1-CQ3-GPOS-S177-L001","O1-CQ3-S207-L001","O1-CQ4-GPOS-S178-L001","O1-CQ4-S208-L001","O1-CQ5-GPOS-S179-L001","O1-CQ5-S209-L001","O1-G-1-S160-L001","O1-G-2-S161-L001","O1-G-3-S162-L001","O1-G-4-S163-L001","O2-AG1-GPOS-S150-L001","O2-AG1-S195-L001","O2-AG2-GPOS-S151-L001","O2-AG2-S196-L001","O2-AG3-GPOS-S152-L001","O2-AG3-S197-L001","O2-AG4-GPOS-S153-L001","O2-AG4-S198-L001","O2-AG5-GPOS-S154-L001","O2-AG5-S199-L001","O2-CQ1-GPOS-S180-L001","O2-CQ1-S210-L001","O2-CQ2-GPOS-S181-L001","O2-CQ2-S211-L001","O2-CQ3-GPOS-S182-L001","O2-CQ3-S212-L001","O2-CQ4-GPOS-S183-L001","O2-CQ4-S213-L001","O2-CQ5-GPOS-S184-L001","O2-CQ5-S214-L001","O2-G-1-S165-L001","O2-G-2-S166-L001","O2-G-3-S167-L001","O2-G-4-S168-L001","O2-G-5-S169-L001","O3-AG1-GPOS-S155-L001","O3-AG1-S200-L001","O3-AG2-GPOS-S156-L001","O3-AG2-S201-L001","O3-AG3-GPOS-S157-L001","O3-AG3-S202-L001","O3-AG4-GPOS-S158-L001","O3-AG4-S203-L001","O3-AG5-S204-L001","O3-CQ1-GPOS-S185-L001","O3-CQ1-S215-L001","O3-CQ2-GPOS-S186-L001","O3-CQ2-S216-L001","O3-CQ3-GPOS-S187-L001","O3-CQ3-S217-L001","O3-CQ4-GPOS-S188-L001","O3-CQ4-S218-L001","O3-CQ5-GPOS-S189-L001","O3-CQ5-S219-L001","O3-G-1-S170-L001","O3-G-2-S171-L001","O3-G-3-S172-L001","O3-G-4-S173-L001","O3-G-5-S174-L001"
"OTU11",0,0,0.000702247191011236,0.00478354935392311,0.024642394436953,0.0161109496325209,0,0.0123445331353258,0,0.0133724125297674,0.0120039465029599,0,0,0.0438283676521339,0.041710875331565,0,0.0720532697276883,0,0.0310103367789263,0.0525793650793651,0.0394352311538326,0.0185307198155164,0.121143093808242,0.0120668598822479,0.055977144897777,0.0134146869185166,0.0936401673640167,0.0175370226032736,0,0.14080866017692,0,0.00976883784017777,0.0406865861411316,0.696363384316806,0,0,0.0239816522909707,0,0.0225622915440455,0,0.0292122538293217,0,0,0,0,0,0.0554990392223353,0.112211221122112,0.0255429876267856,0.0177048773681436,0.00522505508341202,0.00824594425024648,0,0.0277901952019073,0,0.0252480352761282,0.0103671037870875,0,0.00872315461919094,0,0.0089696658317813,0.00345496210118103,0.00534470333893827,0,0.0415025397864678,0,0.0392814272113912,0,0.0571631922983274,0.111501202782654,0.0317692668366822,0.0408531852647919,0.0747713536931058
"OTU12",0,0,0.125702247191011,0,0.00729753311652257,0,0,0.0042076604170534,0,0.0340721743909141,0,0,0,0,0,0,0.0462134764460346,0,0,0,0.0032041125312489,0,0.00999171671153448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358976915789999,0,0.00104636714407168,0,0.00185995623632385,0,0.009007164790174,0,0,0,0.019931426849026,0,0.0349423822420477,0.00462001178258039,0.0146049732451999,0.00234830151474411,0,0,0,0.00725436506525372,0,0,0.00535632301178391,0,0.00488086828077837,0,0.0226399231323565,0,0.00392848468207787,0,0.0102404900865102,0,0.00458878837257216,0.00188544307912359,0.0081538831009915,0.00625410472267001,0.00960047066374285
"OTU13",0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0.00696286472148541,0,0.0989365931226396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355897189526784,0,0,0,0,0,0,0,0.0257996637809773,0,0
"OTU14",0,0,0.00491573033707865,0.0135170004565213,0.0176092646942175,0.00264363520602361,0,0,0.139285714285714,0,0.0281736461302346,0,0.00947867298578199,0,0,0,0.0147088054064798,0,0,0,0.0531319319742263,0.0333141162905617,0.0146510664733899,0.00760102805271504,0.00830283010445496,0,0.0099581589958159,0.00876851130163679,0.0515267175572519,0.00993658359251929,0.112694071983063,0.0145306051773398,0,0,0,0,0.0158049558757541,0,0.0256359950297561,0,0.0110503282275711,0,0.0160184237461617,0,0,0,0,0,0.0269236896606659,0.0154723884530712,0.0171860245514636,0.0213856771533566,0.032100549334197,0.0448269011076342,0.0222387377086668,0.00711212261299385,0.0267301071525279,0.0228360781309843,0.0539713309187369,0,0.0464752852524993,0,0.00488830170550084,0,0.012989344513322,0,0.00956165404197194,0.0774418982610109,0.0200033713547227,0.00747675703790391,0.0222430611941493,0.0163442593587677,0.00989463550302187
"OTU15",0,0,0,0,0.0192485656116972,0,0.0020703933747412,0.0023204009652868,0.0604166666666667,0,0.0978951984213988,0,0.0273527420446852,0,0.00464190981432361,0.0026567481402763,0.00402504472271914,0,0,0,0.0538361325305447,0.0822763959808928,0.0574653137295506,0.0251362534405133,0.0105347736809213,0,0.0214225941422594,0.0327357755261107,0,0,0.119001411432604,0.00430002020143719,0.00635727908455181,0,0,0,0.137707533529441,0,0.150480674906808,0,0.0685448577680525,0,0.188126919140225,0,0,0.101337086558761,0.0237368599525263,0,0.036376188200308,0.00455799820160615,0.0120868744098206,0.115730034955633,0.0159443939261824,0.0363333830030299,0.0090327006631603,0.0203762312862274,0.00557038412440525,0.00702556491765607,0.073917257562618,0,0.157846852054032,0,0.00648570742253183,0,0.0497502455302926,0,0.043114367316528,0.025516008451162,0.0409245003839598,0.00292568753657109,0.0663632309047036,0.0255388381395904,0.0226239503663689
"OTU16",0,0.0152896675293649,0,0.00599432325678331,0.0144893048835303,0.0021176763692231,0.0993788819875776,0.00365076418538457,0,0.183275325151127,0,0,0.019634394041977,0,0.0257294429708223,0,0.0163486384416617,0,0.00666888962987663,0,0,0.00914182177565475,0.0185338579416028,0.00233316928236817,0,0,0.02,0.0298129384255651,0,0.0548935654562346,0,0.00341981472396179,0,0,0,0,0.00518522211696665,0,0.0155647112680662,0,0,0,0.0133060388945752,0,0,0.0640394088669951,0,0.295379537953795,0.00934629069088206,0.0113174785277976,0,0.00448149144035135,0,0,0.00314429453464441,0.00974360797980157,0,0.00150804289544236,0.0044125899097077,0,0.00147710487444609,0,0.00357914965169349,0,0.00412913309325927,0,0.0130055051947514,0,0.0109194433518758,0.0316624406735583,0.010646935718125,0.032166099468625,0.00484034871904584
"OTU17",0,0.0452717499502289,0.00210674157303371,0.0412258589547647,0.0228973321699585,0.0367617544879514,0.00276052449965493,0.0069612028958604,0.0336309523809524,0.00741894119802162,0.0392457794343346,0,0,0,0,0,0.00516795865633075,0,0,0,0.0307735643111158,0.0342200625926536,0.0245910126320149,0.0041741856692368,0,0,0.0201673640167364,0.0319563522992985,0,0,0.0139378969654199,0.00831144844304638,0,0.00515225728940437,0,0,0,0,0.00294290759270159,0,0,0,0.00772773797338792,0,0,0,0,0,0.0288885348627264,0.013829028557254,0.00774315391879131,0.00403334229631621,0.00164426562363756,0.0255550588585904,0.0121769951978047,0.00650759219088937,0.00758191172488492,0.00570901953274607,0.0363974901800745,0,0.0359964035707405,0,0.00419168868604372,0,0.0152915210205612,0,0.015861583674821,0,0.0097020097020097,0,0.00964056585432796,0.0311511134993134,0.0343638016794138
"OTU18",0,0,0,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0.0101458885941645,0,0.00516795865633075,0,0.0116705568522841,0,0,0.00205896886839071,0,0,0.0256227122578341,0,0.0107949790794979,0,0,0,0,0.00203457331678739,0.103835558381013,0.00670024490550344,0,0,0,0,0,0,0,0,0.0029682702149437,0,0,0,0,0,0,0.0026045704009178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569384353168137,0.0165138807619791,0,0.00179115171054988,0
"OTU19",0,0.0221381644435596,0.0182584269662921,0.0520831265754947,0.0234261389175326,0.00527342939002616,0,0.00136130189963492,0,0.0119069426634915,0.0424249068186801,0,0.00771834800270819,0,0.00185676392572944,0,0,0,0.0270090030010003,0,0.0142248512376325,0.0167600065887004,0.00460757920894595,0.00758280016769654,0,0,0.00376569037656904,0,0,0.00351415761198853,0.00229357798165138,0.001515107789097,0,0,0,0,0.00423792192252082,0,0,0,0.012035010940919,0,0.00127942681678608,0,0,0,0,0,0.00642557484998141,0.00623236488791045,0.00321057601510859,0.00718831227032356,0.0119707520023917,0.00658123478865544,0.0074319689000686,0.018455958180719,0.00831689296352172,0.00313577173496745,0.0164260572361373,0,0.0184102926380237,0,0.00145327888541917,0,0.0125669268055717,0,0.00612608137754046,0,0.00767919686838606,0,0.00826824331278662,0.00962744044420562,0.00155105097074397
"OTU20",0,0.00151304001592674,0.00210674157303371,0.00956709870784621,0.00140133788107136,0.00573018311672134,0,0,0,0.0146546986627587,0.0134290725718044,0,0.0046039268788084,0,0,0,0,0,0.0053351117039013,0,0.00795746628639837,0.0111596112666776,0,0.00127595195129509,0,0,0.00334728033472803,0.00155884645362432,0.00763358778625954,0,0.00163196894848271,0.00672419266399238,0,0.00794787671549374,0,0,0.00508550630702498,0,0.00372768295075535,0,0.00421225382932166,0,0,0,0,0,0,0,0.00839042005204185,0.00232550928653375,0.00226628895184136,0.00173881867885632,0.0013702213530313,0.00146525604728555,0,0.00174247004018349,0,0,0.00124980870274958,0,0,0,0,0,0,0,0,0,0.0011987039014066,0,0,0.00150755268971282,0.000935979034069637
